Player Name,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Lebron_James,2021-22,37,LAL,NBA,C,56,56,37.2,11.4,21.8,0.524,2.9,8.0,0.359,8.6,13.8,0.62,0.59,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,MVP-10ASNBA3
Lebron_James,2022-23,38,LAL,NBA,PF,55,54,35.5,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,0.549,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,ASNBA3
Lebron_James,2023-24,39,LAL,NBA,PF,71,71,35.3,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,CPOY-10ASNBA3
Lebron_James,2024-25,40,LAL,NBA,SF,67,67,35.1,9.3,18.2,0.513,2.2,5.7,0.38,7.2,12.5,0.574,0.573,3.6,4.7,0.777,1.0,6.8,7.9,8.4,1.0,0.6,3.7,1.4,24.5,
Gabe_Vincent,2019-20,23,MIA,NBA,PG,9,0,9.2,0.9,4.1,0.216,0.7,3.0,0.222,0.2,1.1,0.2,0.297,0.0,0.0,,0.0,0.6,0.6,0.7,0.6,0.0,0.1,0.7,2.4,
Gabe_Vincent,2020-21,24,MIA,NBA,PG,50,7,13.1,1.8,4.7,0.378,0.9,3.0,0.309,0.8,1.7,0.5,0.476,0.4,0.5,0.87,0.2,0.9,1.1,1.3,0.4,0.0,0.7,1.6,4.8,
Gabe_Vincent,2021-22,25,MIA,NBA,PG,68,27,23.4,3.1,7.5,0.417,1.8,4.8,0.368,1.4,2.8,0.5,0.533,0.6,0.8,0.815,0.3,1.5,1.9,3.1,0.9,0.2,1.4,2.3,8.7,
Gabe_Vincent,2022-23,26,MIA,NBA,PG,68,34,25.9,3.4,8.3,0.402,1.7,5.1,0.334,1.6,3.2,0.512,0.505,1.0,1.1,0.872,0.4,1.7,2.1,2.5,0.9,0.1,1.4,2.3,9.4,
Gabe_Vincent,2023-24,27,LAL,NBA,PG,11,0,19.8,1.4,4.5,0.306,0.3,2.5,0.107,1.1,1.9,0.571,0.337,0.1,0.2,0.5,0.4,0.5,0.8,1.9,0.8,0.0,0.5,1.7,3.1,
Gabe_Vincent,2024-25,28,LAL,NBA,PG,69,11,21.2,2.4,5.9,0.407,1.6,4.3,0.364,0.8,1.6,0.528,0.541,0.2,0.3,0.714,0.3,1.0,1.3,1.4,0.7,0.2,0.6,2.2,6.6,
Alex_Len,2013-14,20,PHO,NBA,C,42,3,8.6,0.8,1.9,0.423,0.0,0.0,,0.8,1.9,0.423,0.423,0.5,0.7,0.645,0.9,1.4,2.4,0.1,0.1,0.4,0.6,1.6,2.0,
Alex_Len,2014-15,21,PHO,NBA,C,69,44,22.0,2.6,5.1,0.507,0.0,0.0,0.333,2.6,5.1,0.509,0.508,1.1,1.5,0.702,2.1,4.5,6.6,0.5,0.5,1.5,1.1,3.1,6.3,
Alex_Len,2015-16,22,PHO,NBA,C,78,46,23.3,3.4,8.0,0.423,0.0,0.1,0.143,3.4,7.9,0.426,0.424,2.2,3.1,0.728,2.3,5.3,7.6,1.2,0.5,0.8,1.9,2.9,9.0,
Alex_Len,2016-17,23,PHO,NBA,C,77,34,20.3,3.0,6.0,0.497,0.0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2.0,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8.0,
Alex_Len,2017-18,24,PHO,NBA,C,69,13,20.2,3.1,5.5,0.566,0.0,0.0,0.333,3.1,5.4,0.568,0.567,2.3,3.3,0.684,2.5,5.0,7.5,1.2,0.4,0.9,1.1,2.3,8.5,
Alex_Len,2018-19,25,ATL,NBA,C,77,31,20.1,4.2,8.4,0.494,1.0,2.6,0.363,3.2,5.8,0.554,0.551,1.8,2.8,0.648,2.1,3.5,5.5,1.1,0.4,0.9,1.3,2.6,11.1,
Alex_Len,2019-20,26,2TM,NBA,C,55,12,17.6,3.2,5.8,0.555,0.3,1.1,0.271,2.9,4.7,0.619,0.58,1.2,1.9,0.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0,
Alex_Len,2019-20,26,ATL,NBA,C,40,9,18.6,3.6,6.5,0.546,0.4,1.4,0.25,3.2,5.1,0.627,0.573,1.3,2.0,0.63,1.7,4.0,5.8,1.1,0.5,0.8,1.0,2.3,8.7,
Alex_Len,2019-20,26,SAC,NBA,C,15,3,15.0,2.3,3.9,0.593,0.1,0.2,0.667,2.2,3.7,0.589,0.61,1.1,1.6,0.708,2.1,4.0,6.1,0.5,0.2,1.0,1.1,2.3,5.9,
Alex_Len,2020-21,27,2TM,NBA,C,64,42,15.3,2.7,4.3,0.615,0.1,0.4,0.32,2.5,4.0,0.644,0.629,1.1,1.8,0.629,1.2,2.8,4.1,0.8,0.3,1.0,0.9,2.0,6.6,
Alex_Len,2020-21,27,TOR,NBA,C,7,2,10.9,0.7,1.4,0.5,0.4,0.9,0.5,0.3,0.6,0.5,0.65,0.4,0.9,0.5,0.0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3,
Alex_Len,2020-21,27,WAS,NBA,C,57,40,15.8,2.9,4.7,0.619,0.1,0.3,0.263,2.8,4.4,0.647,0.629,1.2,1.9,0.636,1.4,3.0,4.4,0.8,0.3,1.0,0.8,2.1,7.1,
Alex_Len,2021-22,28,SAC,NBA,C,39,10,15.9,2.4,4.5,0.534,0.2,0.5,0.286,2.3,4.0,0.568,0.551,1.1,1.6,0.651,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6.0,
Alex_Len,2022-23,29,SAC,NBA,C,26,2,6.2,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.533,0.4,0.6,0.688,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7,
Alex_Len,2023-24,30,SAC,NBA,C,48,0,9.3,1.0,1.7,0.617,0.0,0.1,0.0,1.0,1.6,0.641,0.617,0.4,0.7,0.588,1.0,1.7,2.7,1.0,0.2,0.7,0.6,1.4,2.5,
Alex_Len,2024-25,31,2TM,NBA,C,45,6,8.2,0.7,1.3,0.508,0.0,0.2,0.25,0.6,1.1,0.549,0.525,0.2,0.4,0.471,0.8,1.2,2.1,0.8,0.2,0.4,0.4,1.1,1.6,
Alex_Len,2024-25,31,SAC,NBA,C,36,3,7.2,0.6,1.1,0.537,0.0,0.2,0.167,0.6,1.0,0.6,0.549,0.2,0.4,0.538,0.7,1.1,1.8,0.8,0.2,0.5,0.3,1.0,1.4,
Alex_Len,2024-25,31,LAL,NBA,C,9,3,12.1,0.9,2.0,0.444,0.1,0.2,0.5,0.8,1.8,0.438,0.472,0.1,0.4,0.25,1.4,1.8,3.2,0.8,0.1,0.2,0.7,1.7,2.0,
Christian_Koloko,2022-23,22,TOR,NBA,C,58,19,13.8,1.2,2.6,0.48,0.0,0.2,0.083,1.2,2.4,0.514,0.483,0.6,1.0,0.627,1.4,1.5,2.9,0.5,0.4,1.0,0.3,2.2,3.1,
Christian_Koloko,2024-25,24,LAL,NBA,C,35,0,9.1,1.1,1.8,0.613,0.0,0.1,0.0,1.1,1.7,0.644,0.613,0.2,0.3,0.8,0.9,1.5,2.4,0.5,0.2,0.3,0.3,1.2,2.4,
Rui_Hachimura,2019-20,21,WAS,NBA,PF,48,48,30.1,5.3,11.4,0.466,0.5,1.8,0.287,4.8,9.5,0.5,0.489,2.4,2.9,0.829,1.6,4.5,6.1,1.8,0.8,0.2,1.1,2.2,13.5,
Rui_Hachimura,2020-21,22,WAS,NBA,PF,57,57,31.5,5.4,11.4,0.478,0.8,2.4,0.328,4.6,9.0,0.519,0.513,2.2,2.8,0.77,0.9,4.6,5.5,1.4,0.8,0.1,1.2,2.1,13.8,
Rui_Hachimura,2021-22,23,WAS,NBA,PF,42,13,22.5,4.5,9.1,0.491,1.3,2.9,0.447,3.1,6.1,0.512,0.563,1.1,1.6,0.697,0.6,3.2,3.8,1.1,0.5,0.2,0.8,1.3,11.3,
Rui_Hachimura,2022-23,24,2TM,NBA,PF,63,9,23.3,4.5,9.3,0.486,0.8,2.5,0.319,3.7,6.7,0.55,0.53,1.4,1.9,0.739,0.8,3.7,4.5,0.9,0.3,0.4,0.8,1.1,11.2,
Rui_Hachimura,2022-23,24,WAS,NBA,PF,30,0,24.3,5.3,10.8,0.488,1.0,3.0,0.337,4.3,7.8,0.545,0.534,1.5,1.9,0.759,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,13.0,
Rui_Hachimura,2022-23,24,LAL,NBA,PF,33,9,22.4,3.8,7.9,0.485,0.6,2.2,0.296,3.2,5.7,0.556,0.525,1.3,1.8,0.721,1.0,3.7,4.7,0.7,0.2,0.4,0.5,1.0,9.6,
Rui_Hachimura,2023-24,25,LAL,NBA,PF,68,39,26.9,5.3,9.9,0.537,1.4,3.4,0.422,3.9,6.5,0.597,0.609,1.5,2.0,0.739,0.9,3.5,4.3,1.2,0.6,0.4,0.7,1.5,13.6,
Rui_Hachimura,2024-25,26,LAL,NBA,PF,57,55,31.6,4.9,9.8,0.505,1.7,4.2,0.412,3.2,5.6,0.575,0.593,1.4,1.9,0.766,1.4,3.7,5.1,1.4,0.8,0.5,0.8,1.8,13.1,
Austin_Reaves,2021-22,23,LAL,NBA,SG,61,19,23.2,2.4,5.2,0.459,0.9,2.7,0.317,1.5,2.5,0.616,0.542,1.6,1.9,0.839,0.7,2.4,3.2,1.8,0.5,0.3,0.7,1.4,7.3,
Austin_Reaves,2022-23,24,LAL,NBA,SG,64,22,28.8,4.0,7.7,0.529,1.3,3.4,0.398,2.7,4.3,0.631,0.616,3.6,4.1,0.864,0.5,2.5,3.0,3.4,0.5,0.3,1.5,1.7,13.0,6MOY-7
Austin_Reaves,2023-24,25,LAL,NBA,SG,82,57,32.1,5.6,11.5,0.486,1.9,5.1,0.367,3.7,6.3,0.583,0.568,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9,
Austin_Reaves,2024-25,26,LAL,NBA,SG,70,70,34.9,6.5,14.3,0.458,2.7,7.3,0.374,3.8,7.0,0.546,0.554,4.4,5.0,0.883,0.8,3.6,4.5,5.8,1.1,0.3,2.4,2.0,20.2,
Bronny_James,2024-25,20,LAL,NBA,SG,24,0,5.7,0.8,2.2,0.34,0.3,1.2,0.276,0.4,1.0,0.417,0.415,0.5,0.6,0.786,0.1,0.5,0.6,0.6,0.2,0.1,0.4,0.5,2.3,
Dorian_Finney_Smith,2016-17,23,DAL,NBA,PF,81,35,20.3,1.5,4.1,0.372,0.7,2.4,0.293,0.8,1.8,0.479,0.456,0.6,0.8,0.754,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,4.3,
Dorian_Finney_Smith,2017-18,24,DAL,NBA,PF,21,13,21.3,2.2,5.8,0.38,1.0,3.2,0.299,1.2,2.6,0.481,0.463,0.5,0.7,0.733,1.0,2.5,3.6,1.2,0.5,0.2,1.0,2.0,5.9,
Dorian_Finney_Smith,2018-19,25,DAL,NBA,SF,81,26,24.5,2.8,6.5,0.432,1.0,3.1,0.311,1.8,3.4,0.544,0.507,0.9,1.3,0.709,1.7,3.1,4.8,1.2,0.9,0.4,0.9,2.3,7.5,
Dorian_Finney_Smith,2019-20,26,DAL,NBA,PF,71,68,29.9,3.4,7.4,0.466,1.6,4.3,0.376,1.8,3.1,0.589,0.575,1.1,1.5,0.722,2.0,3.7,5.7,1.6,0.6,0.5,1.0,2.5,9.5,
Dorian_Finney_Smith,2020-21,27,DAL,NBA,PF,60,60,32.0,3.7,7.8,0.472,2.0,5.0,0.394,1.7,2.7,0.616,0.6,0.5,0.7,0.756,1.6,3.8,5.4,1.7,0.9,0.4,0.8,2.3,9.8,
Dorian_Finney_Smith,2021-22,28,DAL,NBA,PF,80,80,33.1,4.1,8.7,0.471,2.2,5.4,0.395,1.9,3.2,0.599,0.595,0.7,1.0,0.675,1.5,3.2,4.7,1.9,1.1,0.5,1.0,2.3,11.0,
Dorian_Finney_Smith,2022-23,29,2TM,NBA,PF,66,66,30.4,3.0,7.6,0.391,1.7,5.1,0.337,1.2,2.5,0.503,0.505,0.7,0.9,0.763,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3,
Dorian_Finney_Smith,2022-23,29,DAL,NBA,PF,40,40,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1.0,0.75,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1,
Dorian_Finney_Smith,2022-23,29,BRK,NBA,PF,26,26,27.7,2.6,7.3,0.351,1.4,4.7,0.306,1.2,2.7,0.429,0.448,0.6,0.7,0.789,1.8,3.1,4.9,1.6,0.7,0.6,1.0,2.5,7.2,
Dorian_Finney_Smith,2023-24,30,BRK,NBA,PF,68,56,28.4,3.2,7.5,0.421,1.7,4.9,0.348,1.4,2.6,0.56,0.535,0.5,0.7,0.717,1.6,3.1,4.7,1.6,0.8,0.6,0.9,2.2,8.5,
Dorian_Finney_Smith,2024-25,31,2TM,NBA,PF,60,39,28.7,3.1,6.8,0.446,2.0,4.9,0.404,1.1,2.0,0.551,0.59,0.5,0.8,0.667,1.3,2.7,4.0,1.4,0.9,0.4,0.9,2.2,8.6,
Dorian_Finney_Smith,2024-25,31,BRK,NBA,PF,20,20,29.0,3.7,8.0,0.459,2.4,5.4,0.435,1.3,2.6,0.51,0.607,0.8,1.2,0.625,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4,
Dorian_Finney_Smith,2024-25,31,LAL,NBA,PF,40,19,28.6,2.8,6.3,0.438,1.8,4.6,0.386,1.0,1.7,0.582,0.58,0.4,0.5,0.714,1.1,2.6,3.7,1.3,0.9,0.3,1.0,2.0,7.7,
Maxi_Kleber,2017-18,26,DAL,NBA,PF,72,35,16.8,2.1,4.3,0.489,0.6,1.8,0.313,1.5,2.5,0.613,0.553,0.6,0.8,0.746,1.0,2.3,3.3,0.7,0.4,0.7,0.4,1.6,5.4,
Maxi_Kleber,2018-19,27,DAL,NBA,PF,71,18,21.2,2.5,5.4,0.453,1.1,3.1,0.353,1.4,2.4,0.583,0.553,0.8,1.0,0.784,1.3,3.4,4.6,1.0,0.5,1.1,0.8,2.0,6.8,
Maxi_Kleber,2019-20,28,DAL,NBA,PF,74,21,25.5,3.2,6.9,0.461,1.6,4.3,0.373,1.6,2.6,0.605,0.577,1.1,1.3,0.849,1.5,3.7,5.2,1.2,0.3,1.1,0.8,2.4,9.1,
Maxi_Kleber,2020-21,29,DAL,NBA,PF,50,40,26.8,2.3,5.5,0.422,1.7,4.2,0.41,0.6,1.3,0.46,0.58,0.7,0.7,0.919,0.9,4.3,5.2,1.4,0.5,0.7,0.6,2.1,7.1,
Maxi_Kleber,2021-22,30,DAL,NBA,PF,59,21,24.6,2.4,6.0,0.398,1.4,4.3,0.325,1.0,1.7,0.586,0.516,0.8,1.1,0.708,1.2,4.7,5.9,1.2,0.5,1.0,0.8,2.3,7.0,6MOY-11
Maxi_Kleber,2022-23,31,DAL,NBA,PF,37,5,25.1,2.1,4.6,0.456,1.1,3.0,0.348,1.0,1.5,0.667,0.571,0.7,1.0,0.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,
Maxi_Kleber,2023-24,32,DAL,NBA,C,43,7,20.3,1.5,3.4,0.432,0.7,2.1,0.348,0.7,1.3,0.574,0.541,0.8,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4,
Maxi_Kleber,2024-25,33,DAL,NBA,PF,34,4,18.7,1.1,2.8,0.385,0.4,1.4,0.265,0.7,1.4,0.511,0.453,0.5,0.6,0.762,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,3.0,
Jaxson_Hayes,2019-20,19,NOP,NBA,C,64,14,16.9,2.7,4.0,0.672,0.0,0.1,0.25,2.7,4.0,0.678,0.674,1.9,3.0,0.647,1.5,2.5,4.0,0.9,0.4,0.9,0.8,2.5,7.4,
Jaxson_Hayes,2020-21,20,NOP,NBA,C,60,3,16.1,2.9,4.7,0.625,0.1,0.2,0.429,2.8,4.4,0.635,0.636,1.6,2.0,0.775,1.5,2.8,4.3,0.6,0.4,0.6,0.7,1.7,7.5,
Jaxson_Hayes,2021-22,21,NOP,NBA,C,70,28,20.0,3.5,5.7,0.616,0.3,0.8,0.351,3.2,4.9,0.66,0.641,2.1,2.7,0.766,1.6,2.9,4.5,0.6,0.5,0.8,0.8,2.2,9.3,
Jaxson_Hayes,2022-23,22,NOP,NBA,C,47,2,13.0,1.8,3.3,0.551,0.1,0.6,0.103,1.8,2.7,0.654,0.561,1.2,1.8,0.699,0.8,2.0,2.8,0.7,0.4,0.4,0.7,1.4,5.0,
Jaxson_Hayes,2023-24,23,LAL,NBA,C,70,5,12.5,1.8,2.5,0.72,0.0,0.1,0.0,1.8,2.4,0.754,0.72,0.7,1.2,0.622,1.0,2.0,3.0,0.5,0.5,0.4,0.6,1.8,4.3,
Jaxson_Hayes,2024-25,24,LAL,NBA,C,53,32,19.6,2.9,4.0,0.723,0.0,0.1,0.0,2.9,4.0,0.733,0.723,1.1,1.7,0.644,1.4,3.5,4.8,1.1,0.5,0.9,0.8,2.5,6.9,
Jarred_Vanderbilt,2018-19,19,DEN,NBA,PF,17,0,4.1,0.5,1.1,0.474,0.0,0.1,0.0,0.5,1.1,0.5,0.474,0.4,0.6,0.6,0.4,0.9,1.4,0.2,0.4,0.1,0.5,0.5,1.4,
Jarred_Vanderbilt,2019-20,20,2TM,NBA,PF,11,0,4.2,0.5,0.7,0.625,0.0,0.1,0.0,0.5,0.6,0.714,0.625,0.2,0.2,1.0,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1,
Jarred_Vanderbilt,2019-20,20,DEN,NBA,PF,9,0,4.6,0.6,0.8,0.714,0.0,0.0,,0.6,0.8,0.714,0.714,0.0,0.0,,0.3,0.6,0.9,0.2,0.3,0.1,0.8,0.7,1.1,
Jarred_Vanderbilt,2019-20,20,MIN,NBA,PF,2,0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,
Jarred_Vanderbilt,2020-21,21,MIN,NBA,PF,64,30,17.8,2.2,3.7,0.606,0.0,0.1,0.2,2.2,3.6,0.615,0.608,0.9,1.6,0.559,1.8,3.9,5.8,1.2,1.0,0.7,0.8,1.9,5.4,
Jarred_Vanderbilt,2021-22,22,MIN,NBA,PF,74,67,25.4,2.9,4.9,0.587,0.0,0.2,0.143,2.8,4.7,0.605,0.59,1.2,1.8,0.656,2.9,5.5,8.4,1.3,1.3,0.6,1.0,2.4,6.9,
Jarred_Vanderbilt,2022-23,23,2TM,NBA,PF,78,65,24.1,3.2,5.8,0.548,0.4,1.2,0.322,2.8,4.6,0.604,0.58,1.2,1.8,0.691,2.2,5.3,7.5,2.4,1.1,0.3,1.2,2.4,7.9,
Jarred_Vanderbilt,2022-23,23,UTA,NBA,PF,52,41,24.1,3.3,6.0,0.556,0.4,1.1,0.333,3.0,4.9,0.606,0.587,1.3,2.0,0.657,2.3,5.5,7.9,2.7,1.0,0.3,1.3,2.6,8.3,
Jarred_Vanderbilt,2022-23,23,LAL,NBA,PF,26,24,24.0,2.8,5.4,0.529,0.4,1.3,0.303,2.5,4.1,0.598,0.564,1.1,1.4,0.784,1.9,4.8,6.7,1.6,1.2,0.2,1.1,2.2,7.2,
Jarred_Vanderbilt,2023-24,24,LAL,NBA,PF,29,6,20.0,2.0,3.9,0.518,0.3,0.9,0.296,1.8,3.0,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1.0,1.5,5.2,
Jarred_Vanderbilt,2024-25,25,LAL,NBA,PF,33,2,16.0,1.5,3.2,0.477,0.3,1.0,0.281,1.3,2.3,0.56,0.519,0.5,1.0,0.563,1.7,3.2,4.9,1.2,0.9,0.2,0.8,1.8,3.9,
